timestamp,NO1_consumption,NO1_temperature,NO2_consumption,NO2_temperature,NO3_consumption,NO3_temperature,NO4_consumption,NO4_temperature,NO5_consumption,NO5_temperature
2021-03-09 05:00:00+00:00,5535.128175,-2.1,5360.434499,-3.6,3662.292442,2.1,2590.09339,-11.3,2293.427694,-0.6
2021-03-09 06:00:00+00:00,6057.340492,-2.6,5652.003925,-4.4,3876.091361,1.4,2711.500811,-11.6,2422.116895,-0.6
2021-03-09 07:00:00+00:00,6172.456406,-2.6,5737.208275,-4.4,3966.985345,1.9,2758.190463,-11.8,2464.579253,-0.6
2021-03-09 08:00:00+00:00,5937.399111,-0.7,5614.201015,-2.7,3893.331771,1.5,2701.400109,-8.7,2446.378054,-0.6
2021-03-09 09:00:00+00:00,5712.369781,0.7,5481.025464,0.0,3828.723977,1.5,2660.084914,-8.3,2391.029439,1.1
2021-03-09 10:00:00+00:00,5510.024866,1.2,5345.745304,3.4,3777.128118,1.5,2607.958094,-5.8,2341.128262,4.2
2021-03-09 11:00:00+00:00,5326.470448,3.7,5241.112889,3.7,3737.387338,1.4,2559.976055,-5.2,2295.118872,5.5
2021-03-09 12:00:00+00:00,5189.930684,5.7,5152.98523,4.4,3689.304029,1.9,2570.851651,-5.0,2261.475154,6.1
2021-03-09 13:00:00+00:00,5169.305681,5.7,5105.695729,5.0,3674.029561,2.0,2567.49084,-4.6,2232.246943,6.6
2021-03-09 14:00:00+00:00,5202.335096,5.7,5067.003515,4.8,3680.610071,2.8,2591.353053,-4.5,2228.026743,6.5
2021-03-09 15:00:00+00:00,5333.239055,6.1,5079.914983,4.5,3686.636975,2.1,2574.332095,-4.7,2238.26991,6.4
2021-03-09 16:00:00+00:00,5404.426106,5.7,5057.594578,3.8,3695.497926,1.0,2628.608506,-5.3,2234.459534,5.4
2021-03-09 17:00:00+00:00,5476.21975,5.0,5182.416022,2.1,3761.277318,0.4,2667.804135,-5.8,2281.473902,3.6
2021-03-09 18:00:00+00:00,5400.503805,4.4,5317.306569,0.7,3793.320098,-0.2,2679.372115,-5.9,2272.933595,2.5
2021-03-09 19:00:00+00:00,5390.540707,3.5,5315.748748,0.4,3752.820795,-0.8,2665.530726,-6.2,2331.09963,1.7
2021-03-09 20:00:00+00:00,5286.068159,3.1,5246.423845,-0.1,3739.361382,-0.8,2643.411841,-6.3,2310.621033,1.6
2021-03-09 21:00:00+00:00,5046.337331,2.7,5110.813797,-1.1,3673.830385,-0.7,2584.062539,-6.1,2242.301329,1.7
2021-03-09 22:00:00+00:00,4814.614739,1.5,4941.462814,-0.8,3580.941081,-0.8,2504.44339,-6.2,2173.302902,1.5
2021-03-09 23:00:00+00:00,4631.019378,0.9,4799.095157,0.3,3506.870349,-1.5,2498.302264,-6.2,2120.045416,1.4
2021-03-10 00:00:00+00:00,4559.687062,-0.1,4732.039528,0.6,3481.784971,-1.7,2466.950346,-6.2,2087.649411,1.2
2021-03-10 01:00:00+00:00,4579.08934,-1.2,4730.539821,0.7,3462.903194,-2.2,2474.647289,-6.1,2081.10015,1.5
